select_product,product_id,variant_id,woo_variant_id,sku,product_name,color,design,design_variant,size,dimensions,price_dollars,price_variant,price_cents,stock_qty,woo_stock,image_variant,description_variant,base_weight_oz,weight_oz_variant,row_id,last_woo_order,readable_name,variant_details
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-014,9602,CHR-CLO-0001-LLC-LG,CHR T-Shirt – Large Logo (solid),lilac,,,large,,$25.00,,"2,500",6,6,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,10,f9654152-4cec-4fbf-a8a8-a7ddf0ce8712,,CHR Classic T-Shirt | lilac large,lilac large
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-015,9603,CHR-CLO-0001-LLC-XL,CHR T-Shirt – Large Logo (solid),lilac,,,x-large,,$25.00,,"2,500",6,6,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,,2ae9397d-272d-4b19-b06b-2a3b99f5a966,,CHR Classic T-Shirt | lilac x-large,lilac x-large
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-016,10063,CHR-CLO-0001-LLC-XXL,CHR T-Shirt – Large Logo (solid),lilac,,,xx-large,,$25.00,,"2,500",6,6,,,8,,,,CHR Classic T-Shirt | lilac xx-large,lilac xx-large
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-017,10064,CHR-CLO-0001-LLC-XXXL,CHR T-Shirt – Large Logo (solid),lilac,,,xxx-large,,$25.00,,"2,500",6,6,,,8,,,,CHR Classic T-Shirt | lilac xxx-large,lilac xxx-large
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-018,9604,CHR-CLO-0001-SHW-SM,CHR T-Shirt – Large Logo (solid),shadow,,,small,,$25.00,,"2,500",3,3,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,5.2,89f93acb-0d2b-4539-bfab-ed7be8cd826c,,CHR Classic T-Shirt | shadow small,shadow small
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-019,9605,CHR-CLO-0001-SHW-MD,CHR T-Shirt – Large Logo (solid),shadow,,,medium,,$25.00,,"2,500",1,1,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,5.5,2cf50e2d-b024-43ff-8127-a4c1ece132b5,,CHR Classic T-Shirt | shadow medium,shadow medium
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-020,9606,CHR-CLO-0001-SHW-LG,CHR T-Shirt – Large Logo (solid),shadow,,,large,,$25.00,,"2,500",3,3,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,7,8fc262bd-bab9-4734-8d34-decabee01d7a,,CHR Classic T-Shirt | shadow large,shadow large
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-021,9607,CHR-CLO-0001-SHW-XL,CHR T-Shirt – Large Logo (solid),shadow,,,x-large,,$25.00,,"2,500",1,1,,100% Cotton. Please note that Black and Shadow t-shirts are lighter weight where the Lilac and Gold are heavy weight shirts.,8,7,e0c095bc-8bdd-48cc-a31c-ebd4c1083b8c,,CHR Classic T-Shirt | shadow x-large,shadow x-large
CHR T-Shirt – Large Logo (solid) - CLO-0001,CLO-0001,CLO-0001-022,9608,CHR-CLO-0001-SHW-XXL,CHR T-Shirt – Large Logo (solid),shadow,,,xx-large,,$25.00,,"2,500",0,0,,,8,,9f4522c1-6aac-4f00-82ea-c76177b34a30,,CHR Classic T-Shirt | shadow xx-large,shadow xx-large
"CHR Long Sleeve – Circle Logo, Desert Angels - CLO-0002",CLO-0002,CLO-0002-001,9610,CHR-CLO-0002-CRM-SM,"CHR Long Sleeve – Circle Logo, Desert Angels",cream,,,small,,$45.00,,"4,500",3,3,,,10,10,e416ba1b-2ce2-4654-95e3-47972d188cb6,,Desert Angels Long Sleeves | cream small,cream small
"CHR Long Sleeve – Circle Logo, Desert Angels - CLO-0002",CLO-0002,CLO-0002-002,9611,CHR-CLO-0002-CRM-MD,"CHR Long Sleeve – Circle Logo, Desert Angels",cream,,,medium,,$45.00,,"4,500",5,5,,,10,12,58a4385f-20a6-4da9-9b49-cf5c736d889a,,Desert Angels Long Sleeves | cream medium,cream medium
"CHR Long Sleeve – Circle Logo, Desert Angels - CLO-0002",CLO-0002,CLO-0002-003,9612,CHR-CLO-0002-CRM-LG,"CHR Long Sleeve – Circle Logo, Desert Angels",cream,,,large,,$45.00,,"4,500",3,3,,,10,13,f467471f-d851-4c29-9181-f24c6b38fd4d,,Desert Angels Long Sleeves | cream large,cream large
"CHR Long Sleeve – Circle Logo, Desert Angels - CLO-0002",CLO-0002,CLO-0002-004,9613,CHR-CLO-0002-CRM-XL,"CHR Long Sleeve – Circle Logo, Desert Angels",cream,,,x-large,,$45.00,,"4,500",5,5,,,10,14,7e2c535f-5da1-4f92-a3fb-6980a58f66f8,,Desert Angels Long Sleeves | cream x-large,cream x-large
